Tuần,Ngày,Thứ,Tiết,Giáo viên,Môn học,Phòng
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,15:30 - 16:15,Lan Bùi Văn,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,15:30 - 16:15,Lan Bùi Văn,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,16:20 - 17:05,Lan Bùi Văn,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,16:20 - 17:05,Lan Bùi Văn,Dã ngoại,102A
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,07:00 - 07:45,Bình Ngô Minh,Bóng Chuyền,102A
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,07:00 - 07:45,Bình Ngô Minh,Bóng Chuyền,102A
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,07:50 - 08:35,Bình Ngô Minh,Bóng Chuyền,102A
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,07:50 - 08:35,Bình Ngô Minh,Bóng Chuyền,102A
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,08:50 - 09:35,Bình Ngô Minh,Bóng Chuyền,102A
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,08:50 - 09:35,Bình Ngô Minh,Bóng Chuyền,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:00 - 07:45,Lan Bùi Văn,Dã ngoại,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:00 - 07:45,Lan Bùi Văn,Dã ngoại,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:50 - 08:35,Tuấn Lê Anh,Tin học,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:50 - 08:35,Tuấn Lê Anh,Tin học,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,08:50 - 09:35,Tuấn Lê Anh,Tin học,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,08:50 - 09:35,Tuấn Lê Anh,Tin học,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,09:40 - 10:25,Tuấn Lê Anh,Tin học,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,09:40 - 10:25,Tuấn Lê Anh,Tin học,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,10:30 - 11:15,Nam Bùi Minh,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,10:30 - 11:15,Nam Bùi Minh,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,13:00 - 13:45,Nam Bùi Minh,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,13:00 - 13:45,Nam Bùi Minh,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,13:50 - 14:35,Nam Bùi Minh,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,13:50 - 14:35,Nam Bùi Minh,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,14:40 - 15:25,Tuấn Lê Anh,Cầu lông,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,14:40 - 15:25,Tuấn Lê Anh,Cầu lông,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,15:30 - 16:15,Tuấn Lê Anh,Cầu lông,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,15:30 - 16:15,Tuấn Lê Anh,Cầu lông,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,16:20 - 17:05,Tuấn Lê Anh,Cầu lông,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,16:20 - 17:05,Tuấn Lê Anh,Cầu lông,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,07:00 - 07:45,Hiếu Hoàng Anh,Toán,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,07:00 - 07:45,Hiếu Hoàng Anh,Toán,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,07:50 - 08:35,Hiếu Hoàng Anh,Toán,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,07:50 - 08:35,Hiếu Hoàng Anh,Toán,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,08:50 - 09:35,Hiếu Hoàng Anh,Toán,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,08:50 - 09:35,Hiếu Hoàng Anh,Toán,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,09:40 - 10:25,Hương Lê Ngọc,Vật lý,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,09:40 - 10:25,Hương Lê Ngọc,Vật lý,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,10:30 - 11:15,Hương Lê Ngọc,Vật lý,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,10:30 - 11:15,Hương Lê Ngọc,Vật lý,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:00 - 13:45,Hương Lê Ngọc,Vật lý,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:00 - 13:45,Hương Lê Ngọc,Vật lý,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:50 - 14:35,Yến Đỗ Đức,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:50 - 14:35,Yến Đỗ Đức,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,14:40 - 15:25,Yến Đỗ Đức,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,14:40 - 15:25,Yến Đỗ Đức,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,15:30 - 16:15,Yến Đỗ Đức,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,15:30 - 16:15,Yến Đỗ Đức,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,16:20 - 17:05,Hùng Đặng Minh,Sinh học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,16:20 - 17:05,Hùng Đặng Minh,Sinh học,102A
