FullName,DateOfBirth,Gender,Address,Phone,ParentNames,Careers,Phones,ParentGenders
Ngô Văn Hương,17/03/2005,False,TP. Hồ Chí Minh,924879009,"['Bùi Văn Linh', 'Vũ Quốc Hạnh']","['Kỹ Sư', 'Quân Nhân']","[967475973, 969994393]","[False, True]"
Phạm Anh Linh,27/12/2008,False,Phú Thọ,932531114,"['Huỳnh Xuân Linh', 'Đặng Gia Long']","['Nhà báo', 'Nhà Văn']","[987317746, 926663979]","[False, False]"
Lý Hoàng Ngân,16/10/2009,False,Lào Cai,985449111,['Trần Anh Bình'],['Nhà Văn'],[921489853],[False]
Lý Anh Nam,18/06/2008,True,Tây Ninh,982057093,"['Bùi Thanh Lan', 'Lê Gia Phát']","['Kinh Doanh', 'Nghệ sĩ']","[923965354, 990136385]","[False, False]"
Ngô Thị Mai,03/05/2009,False,Tuyên Quang,943875179,"['Bùi Đức Phát', 'Trần Gia Linh']","['Phát thanh viên', 'Nghệ sĩ']","[977452221, 900940225]","[False, False]"
Phạm Quốc Yến,24/07/2007,False,TP. Hồ Chí Minh,925367855,['Võ Quốc Long'],['Nhà Văn'],[945474702],[True]
Hồ Phước Hương,08/04/2008,False,Vĩnh Long,965034048,['Hồ Anh Tuấn'],['Nghệ sĩ'],[957184796],[False]
Vũ Văn Bình,08/10/2008,True,Lai Châu,932942749,"['Nguyễn Ngọc Hùng', 'Hồ Xuân Dũng']","['Quân Nhân', 'Phát thanh viên']","[990728335, 993179211]","[True, True]"
Hoàng Thanh Ánh,11/10/2006,False,Tiền Giang,988663003,"['Đỗ Gia Trang', 'Dương Hồng Trang']","['Nghệ sĩ', 'Nhà báo']","[950687437, 914295010]","[True, False]"
Võ Thanh Khánh,23/05/2008,True,Quảng Bình,967360429,"['Trần Ngọc Bình', 'Võ Anh Tuấn']","['Phát thanh viên', 'Kỹ Sư']","[920514914, 973055314]","[True, False]"
Dương Phước Như,18/12/2005,False,Sóc Trăng,974071095,"['Huỳnh Xuân Long', 'Hoàng Thị Yến']","['Phát thanh viên', 'Kỹ Sư']","[916225066, 993449522]","[True, False]"
Hồ Văn Yến,06/12/2008,False,Sơn La,991273917,['Hoàng Quốc Hạnh'],['Kỹ Sư'],[938383200],[True]
Phạm Phước Thảo,13/10/2005,False,Cà Mau,959956608,"['Phạm Thị Lan', 'Vũ Quốc Hạnh']","['Phát thanh viên', 'Quân Nhân']","[946739031, 969994393]","[False, True]"
Hồ Anh Bình,16/12/2010,True,Nam Định,923755791,['Hoàng Quốc Hạnh'],['Kỹ Sư'],[938383200],[True]
Hồ Minh Hiếu,01/04/2006,True,Hải Dương,904306958,"['Dương Minh Hương', 'Nguyễn Minh Tuấn']","['Giáo viên', 'Kỹ Sư']","[954667091, 903828516]","[False, False]"
Lý Anh Mai,04/08/2006,False,Lạng Sơn,988802456,['Huỳnh Anh Yến'],['Phát thanh viên'],[909023797],[False]
Phạm Ngọc Thảo,23/05/2005,False,Phú Thọ,978032859,['Đặng Hồng Tuấn'],['Kỹ Sư'],[957267617],[True]
Phạm Minh Trang,08/03/2010,False,Quảng Bình,929804585,['Lê Thị Trang'],['Phát thanh viên'],[964261080],[False]
Nguyễn Anh Thảo,21/01/2005,False,Hải Dương,987738309,['Phạm Đức Hùng'],['Bác sĩ'],[956836615],[False]
